,,,,,,,,,,,Total population by five-year age group (thousands),,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5--9,9--14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
8515,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1950,  6 747,  5 444,  4 768,  4 171,  3 595,  3 120,  2 679,  2 299,  1 947,  1 653,  1 334,  1 062,783,631,524,321,105,20,2,0,0
8516,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1951,  6 843,  5 567,  4 866,  4 267,  3 682,  3 193,  2 744,  2 355,  1 996,  1 693,  1 372,  1 090,796,614,503,312,108,20,1,0,0
8517,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1952,  6 976,  5 684,  4 963,  4 365,  3 774,  3 265,  2 811,  2 410,  2 048,  1 731,  1 414,  1 117,817,603,481,304,111,19,1,0,0
8518,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1953,  7 175,  5 762,  5 063,  4 460,  3 864,  3 332,  2 876,  2 463,  2 100,  1 767,  1 456,  1 143,843,597,460,296,113,18,1,0,0
8519,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1954,  7 449,  5 798,  5 172,  4 555,  3 952,  3 401,  2 940,  2 516,  2 152,  1 805,  1 498,  1 171,870,597,444,288,113,19,1,0,0
8520,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1955,  7 737,  5 858,  5 290,  4 651,  4 040,  3 475,  3 006,  2 573,  2 204,  1 847,  1 537,  1 204,897,604,432,280,112,20,1,0,0
8521,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1956,  8 013,  5 965,  5 411,  4 747,  4 130,  3 554,  3 072,  2 632,  2 256,  1 892,  1 575,  1 239,923,617,424,271,111,21,1,0,0
8522,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1957,  8 301,  6 107,  5 527,  4 843,  4 223,  3 638,  3 137,  2 693,  2 306,  1 941,  1 611,  1 279,948,636,419,262,110,22,1,0,0
8523,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1958,  8 598,  6 313,  5 606,  4 939,  4 310,  3 719,  3 197,  2 754,  2 355,  1 990,  1 645,  1 319,973,659,417,254,109,23,1,0,0
8524,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1959,  8 906,  6 590,  5 645,  5 046,  4 401,  3 803,  3 263,  2 816,  2 407,  2 040,  1 682,  1 359,  1 000,683,420,247,108,24,1,0,0
8525,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1960,  9 229,  6 880,  5 707,  5 169,  4 504,  3 897,  3 340,  2 883,  2 464,  2 091,  1 724,  1 397,  1 031,707,428,244,107,24,2,0,0
8526,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1961,  9 570,  7 160,  5 815,  5 297,  4 611,  3 996,  3 426,  2 953,  2 524,  2 143,  1 769,  1 435,  1 065,731,440,242,105,25,2,0,0
8527,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1962,  9 927,  7 451,  5 958,  5 419,  4 721,  4 101,  3 519,  3 024,  2 589,  2 196,  1 817,  1 471,  1 103,754,457,242,103,25,2,0,0
8528,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1963,  10 281,  7 751,  6 164,  5 504,  4 832,  4 209,  3 616,  3 096,  2 656,  2 249,  1 868,  1 507,  1 142,778,477,243,102,26,3,0,0
8529,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1964,  10 624,  8 060,  6 439,  5 548,  4 952,  4 316,  3 715,  3 173,  2 724,  2 303,  1 920,  1 545,  1 180,804,498,248,101,26,3,0,0
8530,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1965,  10 944,  8 380,  6 726,  5 613,  5 080,  4 426,  3 814,  3 254,  2 794,  2 361,  1 971,  1 586,  1 217,832,518,255,101,27,3,0,0
8531,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1966,  11 246,  8 715,  7 003,  5 722,  5 209,  4 535,  3 914,  3 340,  2 863,  2 420,  2 021,  1 630,  1 253,862,539,265,102,27,3,0,0
8532,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1967,  11 551,  9 064,  7 292,  5 863,  5 329,  4 642,  4 018,  3 432,  2 933,  2 483,  2 072,  1 677,  1 288,896,559,278,104,27,3,0,0
8533,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1968,  11 860,  9 412,  7 591,  6 067,  5 411,  4 751,  4 123,  3 527,  3 004,  2 549,  2 124,  1 727,  1 323,932,579,293,106,27,4,0,0
8534,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1969,  12 178,  9 746,  7 897,  6 331,  5 440,  4 853,  4 217,  3 617,  3 074,  2 612,  2 175,  1 776,  1 359,967,602,309,110,28,4,0,0
8535,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1970,  12 454,  10 030,  8 201,  6 600,  5 479,  4 951,  4 303,  3 698,  3 142,  2 671,  2 225,  1 820,  1 395,998,624,323,115,28,4,0,0
8536,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1971,  12 560,  10 239,  8 499,  6 841,  5 530,  5 017,  4 359,  3 751,  3 187,  2 703,  2 249,  1 836,  1 405,  1 002,627,328,115,26,3,0,0
8537,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1972,  12 766,  10 454,  8 813,  7 091,  5 604,  5 061,  4 404,  3 803,  3 236,  2 735,  2 278,  1 855,  1 422,  1 008,634,333,117,24,2,0,0
8538,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1973,  13 206,  10 705,  9 140,  7 379,  5 781,  5 107,  4 479,  3 886,  3 316,  2 797,  2 338,  1 904,  1 470,  1 043,666,348,128,26,3,0,0
8539,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1974,  13 659,  10 946,  9 452,  7 676,  6 029,  5 113,  4 557,  3 965,  3 395,  2 862,  2 398,  1 955,  1 518,  1 080,698,365,139,29,3,0,0
8540,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1975,  14 120,  11 181,  9 680,  7 935,  6 289,  5 148,  4 640,  4 037,  3 463,  2 920,  2 451,  2 003,  1 565,  1 120,731,384,150,32,3,0,0
