,,,,,,,,,,,Female population by five-year age group (thousands),,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
8515,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1950,  3 319,  2 649,  2 293,  2 000,  1 738,  1 500,  1 268,  1 067,   871,   749,   621,   496,   373,   300,   245,   144,   48,   10,   1,   0,   0
8516,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1951,  3 373,  2 711,  2 343,  2 042,  1 776,  1 537,  1 301,  1 098,   897,   764,   637,   509,   378,   293,   237,   141,   48,   9,   1,   0,   0
8517,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1952,  3 445,  2 769,  2 394,  2 087,  1 815,  1 573,  1 336,  1 127,   926,   777,   653,   522,   387,   288,   227,   138,   49,   8,   1,   0,   0
8518,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1953,  3 548,  2 809,  2 447,  2 133,  1 851,  1 606,  1 370,  1 153,   958,   790,   669,   535,   397,   286,   218,   136,   49,   8,   1,   0,   0
8519,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1954,  3 686,  2 830,  2 503,  2 179,  1 886,  1 638,  1 404,  1 180,   989,   806,   684,   549,   409,   286,   210,   133,   49,   8,   1,   0,0
8520,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1955,  3 828,  2 865,  2 563,  2 227,  1 924,  1 672,  1 437,  1 209,  1 019,   826,   698,   563,   420,   288,   205,   129,   48,   8,   1,   0,0
8521,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1956,  3 963,  2 923,  2 624,  2 277,  1 963,  1 705,  1 470,  1 240,  1 047,   849,   712,   577,   432,   293,   201,   125,   47,   8,   0,   0,0
8522,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1957,  4 104,  2 999,  2 682,  2 327,  2 006,  1 740,  1 502,  1 272,  1 074,   877,   724,   592,   444,   300,   199,   121,   47,   9,   0,   0,0
8523,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1958,  4 250,  3 104,  2 722,  2 377,  2 047,  1 772,  1 532,  1 303,  1 098,   907,   736,   607,   456,   310,   198,   117,   47,   9,   0,   0,0
8524,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1959,  4 401,  3 242,  2 744,  2 433,  2 092,  1 805,  1 562,  1 335,  1 124,   936,   751,   621,   469,   320,   199,   114,   47,   9,   0,   0,0
8525,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1960,  4 559,  3 385,  2 779,  2 495,  2 143,  1 845,  1 597,  1 369,  1 153,   965,   770,   635,   482,   330,   202,   113,   46,   9,   1,   0,   0
8526,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1961,  4 725,  3 522,  2 838,  2 559,  2 198,  1 890,  1 634,  1 404,  1 184,   993,   793,   649,   495,   341,   207,   112,   45,   9,   1,   0,   0
8527,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1962,  4 900,  3 664,  2 913,  2 620,  2 255,  1 938,  1 673,  1 439,  1 217,  1 020,   821,   662,   510,   352,   214,   112,   44,   9,   1,   0,   0
8528,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1963,  5 073,  3 810,  3 018,  2 663,  2 313,  1 990,  1 713,  1 474,  1 251,  1 046,   850,   674,   525,   363,   222,   112,   44,   10,   1,   0,   0
8529,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1964,  5 241,  3 961,  3 155,  2 688,  2 374,  2 042,  1 754,  1 509,  1 286,  1 073,   880,   690,   539,   374,   230,   114,   43,   10,   1,   0,   0
8530,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1965,  5 397,  4 117,  3 296,  2 724,  2 439,  2 097,  1 797,  1 546,  1 320,  1 102,   908,   709,   552,   386,   239,   117,   43,   10,   1,   0,   0
8531,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1966,  5 544,  4 281,  3 431,  2 783,  2 504,  2 153,  1 841,  1 583,  1 355,  1 132,   935,   731,   565,   398,   248,   121,   44,   10,   1,   0,   0
8532,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1967,  5 692,  4 451,  3 571,  2 857,  2 563,  2 208,  1 889,  1 621,  1 389,  1 164,   961,   757,   577,   411,   257,   126,   44,   10,   1,   0,   0
8533,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1968,  5 843,  4 621,  3 717,  2 961,  2 605,  2 265,  1 939,  1 660,  1 423,  1 197,   986,   785,   590,   425,   266,   132,   45,   10,   1,   0,   0
8534,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1969,  5 998,  4 783,  3 866,  3 092,  2 622,  2 317,  1 986,  1 697,  1 456,  1 230,  1 012,   813,   605,   437,   276,   138,   47,   10,   1,   0,   0
8535,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1970,  6 131,  4 920,  4 013,  3 223,  2 644,  2 366,  2 027,  1 730,  1 485,  1 258,  1 036,   837,   620,   448,   285,   143,   48,   10,   1,   0,0
