,,,,,,,,,,,Male population by five-year age group (thousands),,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
8515,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1950,  3 428,  2 796,  2 475,  2 172,  1 857,  1 620,  1 412,  1 232,  1 076,   904,   713,   566,   410,   331,   278,   177,   58,   10,   1,   0,   0
8516,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1951,  3 469,  2 856,  2 522,  2 225,  1 906,  1 656,  1 442,  1 257,  1 099,   929,   736,   581,   418,   321,   266,   171,   60,   11,   1,   0,   0
8517,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1952,  3 531,  2 914,  2 569,  2 277,  1 960,  1 692,  1 475,  1 283,  1 121,   954,   761,   594,   430,   315,   253,   166,   62,   10,   1,   0,   0
8518,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1953,  3 627,  2 952,  2 616,  2 327,  2 013,  1 726,  1 506,  1 309,  1 142,   977,   788,   607,   446,   311,   242,   161,   64,   10,   1,   0,   0
8519,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1954,  3 763,  2 968,  2 668,  2 376,  2 065,  1 763,  1 537,  1 336,  1 163,   999,   814,   623,   461,   311,   233,   156,   65,   11,   1,   0,0
8520,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1955,  3 909,  2 993,  2 726,  2 423,  2 116,  1 804,  1 569,  1 363,  1 185,  1 021,   839,   641,   476,   316,   227,   151,   64,   12,   1,   0,0
8521,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1956,  4 050,  3 042,  2 787,  2 470,  2 166,  1 849,  1 602,  1 392,  1 208,  1 043,   864,   663,   491,   324,   223,   146,   64,   13,   1,   0,0
8522,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1957,  4 197,  3 109,  2 845,  2 516,  2 217,  1 899,  1 634,  1 422,  1 233,  1 064,   887,   687,   504,   335,   220,   141,   63,   14,   1,   0,0
8523,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1958,  4 348,  3 209,  2 884,  2 562,  2 263,  1 948,  1 665,  1 451,  1 257,  1 084,   909,   712,   516,   349,   219,   137,   62,   15,   1,   0,0
8524,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1959,  4 506,  3 348,  2 901,  2 614,  2 310,  1 998,  1 700,  1 481,  1 283,  1 104,   931,   737,   531,   363,   221,   133,   62,   15,   1,   0,0
8525,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1960,  4 671,  3 495,  2 928,  2 674,  2 361,  2 051,  1 743,  1 514,  1 311,  1 126,   953,   762,   549,   377,   226,   131,   61,   15,   1,   0,   0
8526,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1961,  4 845,  3 638,  2 977,  2 738,  2 413,  2 106,  1 792,  1 550,  1 340,  1 150,   975,   786,   570,   390,   233,   130,   60,   16,   1,   0,   0
8527,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1962,  5 027,  3 787,  3 045,  2 799,  2 466,  2 163,  1 846,  1 586,  1 372,  1 176,   997,   810,   593,   402,   244,   130,   59,   16,   2,   0,   0
