,,,,,,,,,,,"Total population by five-year age group, both sexes combined (thousands)",,,,,,,,,,,,,,,,,,,,,,CORRECTED (WITHOUT GAP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,NO OF CHILDREN(<15 YRS),(15-64 YRS),NO OF ADULT(>65 YRS),CHILD + ADULT,TOTAL,CHILD+ADULT Diff,CHILD+ADULT GR,WP Diff,WP GR,Total Diff,Total GR
8515,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1950,  6 747,  5 444,  4 768,  4 171,  3 595,  3 120,  2 679,  2 299,  1 947,  1 653,  1 334,  1 062,   783,   631,   524,   321,   105,   20,   2,   0,   0,,6746.815 ,5444.461 ,4767.984 ,4171.330 ,3595.163 ,3120.384 ,2679.170 ,2299.212 ,1947.389 ,1652.714 ,1334.405 ,1061.854 ,782.814 ,630.533 ,523.882 ,321.436 ,105.364 ,19.991 ,1.869 ,0.087 ,0.002 ,16959.2595 ,22644.4335 ,1603.1630 ,18562.4225 ,41206.856 ,,,,,,
8516,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1951,  6 843,  5 567,  4 866,  4 267,  3 682,  3 193,  2 744,  2 355,  1 996,  1 693,  1 372,  1 090,   796,   614,   503,   312,   108,   20,   1,   0,   0,,6842.665 ,5567.095 ,4865.589 ,4266.914 ,3682.407 ,3193.466 ,2743.635 ,2355.086 ,1995.819 ,1693.128 ,1372.212 ,1090.019 ,795.891 ,614.291 ,502.519 ,312.356 ,107.993 ,19.643 ,1.495 ,0.079 ,0.007 ,17275.3480 ,23188.5750 ,1558.3805 ,18833.7285 ,42022.304 ,271.3060 ,0.658400146,544.1415 ,2.402981289,815.448 ,1.978912198
8517,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1952,  6 976,  5 684,  4 963,  4 365,  3 774,  3 265,  2 811,  2 410,  2 048,  1 731,  1 414,  1 117,   817,   603,   481,   304,   111,   19,   1,   0,   0,,6976.271 ,5683.904 ,4962.858 ,4364.566 ,3774.149 ,3265.214 ,2810.684 ,2410.118 ,2047.610 ,1731.049 ,1413.703 ,1116.565 ,817.051 ,602.929 ,480.806 ,304.176 ,111.079 ,18.848 ,1.352 ,0.079 ,0.007 ,17623.0320 ,23750.7060 ,1519.2730 ,19142.3050 ,42893.011 ,308.5765 ,0.734316004,562.1310 ,2.424172249,870.707 ,2.072012782
8518,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1953,  7 175,  5 762,  5 063,  4 460,  3 864,  3 332,  2 876,  2 463,  2 100,  1 767,  1 456,  1 143,   843,   597,   460,   296,   113,   18,   1,   0,   0,,7175.333 ,5761.629 ,5062.921 ,4460.492 ,3863.959 ,3332.457 ,2876.086 ,2462.803 ,2100.059 ,1767.143 ,1456.346 ,1142.526 ,843.121 ,596.789 ,460.385 ,296.451 ,113.154 ,18.415 ,1.282 ,0.043 ,0.002 ,17999.8825 ,24304.9895 ,1486.5195 ,19486.4020 ,43791.392 ,344.0970 ,0.802221602,554.2835 ,2.333755889,898.380 ,2.094468257
8519,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1954,  7 449,  5 798,  5 172,  4 555,  3 952,  3 401,  2 940,  2 516,  2 152,  1 805,  1 498,  1 171,   870,   597,   444,   288,   113,   19,   1,   0,0,,7448.658 ,5797.918 ,5171.561 ,4554.927 ,3951.715 ,3400.950 ,2940.315 ,2516.172 ,2152.001 ,1805.277 ,1497.603 ,1171.233 ,870.204 ,596.964 ,443.851 ,288.333 ,113.438 ,18.898 ,1.271 ,0.013 ,0.000 ,18418.1365 ,24860.3935 ,1462.7655 ,19880.9020 ,44741.296 ,394.5000 ,0.900861988,555.4040 ,2.285143962,949.904 ,2.169156922
8520,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1955,  7 737,  5 858,  5 290,  4 651,  4 040,  3 475,  3 006,  2 573,  2 204,  1 847,  1 537,  1 204,   897,   604,   432,   280,   112,   20,   1,   0,0,,7736.501 ,5858.019 ,5289.573 ,4650.714 ,4040.160 ,3475.392 ,3006.026 ,2572.683 ,2204.002 ,1847.327 ,1537.331 ,1203.760 ,896.896 ,603.612 ,432.123 ,279.842 ,112.396 ,19.995 ,1.329 ,0.008 ,0.000 ,18884.0915 ,25434.2895 ,1449.3030 ,20333.3945 ,45767.684 ,452.4925 ,1.011353147,573.8960 ,2.308475125,1026.389 ,2.294051812
8521,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1956,  8 013,  5 965,  5 411,  4 747,  4 130,  3 554,  3 072,  2 632,  2 256,  1 892,  1 575,  1 239,   923,   617,   424,   271,   111,   21,   1,   0,0,,8013.175 ,5965.274 ,5410.900 ,4746.786 ,4129.934 ,3554.372 ,3071.754 ,2631.550 ,2255.508 ,1892.405 ,1575.236 ,1239.420 ,922.940 ,616.534 ,423.896 ,271.043 ,111.109 ,21.215 ,1.362 ,0.008 ,0.000 ,19389.3490 ,26019.9025 ,1445.1655 ,20834.5145 ,46854.417 ,501.1200 ,1.094921036,585.6130 ,2.302454724,1086.733 ,2.374454866
8522,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1957,  8 301,  6 107,  5 527,  4 843,  4 223,  3 638,  3 137,  2 693,  2 306,  1 941,  1 611,  1 279,   948,   636,   419,   262,   110,   22,   1,   0,0,,8300.886 ,6107.499 ,5527.045 ,4842.998 ,4222.626 ,3638.387 ,3136.596 ,2693.219 ,2306.412 ,1940.834 ,1610.996 ,1278.588 ,947.861 ,635.812 ,418.873 ,262.053 ,110.214 ,22.412 ,1.354 ,0.009 ,0.000 ,19935.4300 ,26618.5150 ,1450.7240 ,21386.1540 ,48004.669 ,551.6395 ,1.177347912,598.6125 ,2.300594708,1150.252 ,2.454948911
8523,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1958,  8 598,  6 313,  5 606,  4 939,  4 310,  3 719,  3 197,  2 754,  2 355,  1 990,  1 645,  1 319,   973,   659,   417,   254,   109,   23,   1,   0,0,,8598.331 ,6313.328 ,5605.798 ,4939.196 ,4310.481 ,3719.445 ,3197.140 ,2753.689 ,2355.411 ,1990.162 ,1645.316 ,1319.024 ,972.572 ,659.023 ,417.407 ,253.722 ,109.350 ,23.312 ,1.339 ,0.010 ,0.000 ,20517.4565 ,27202.4355 ,1464.1615 ,21981.6180 ,49184.054 ,595.4640 ,1.240429342,583.9205 ,2.193662945,1179.385 ,2.456812066
